node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
528,58095,18670,28233,6743,1806,1111,3306,755,1697,1315,3394,5555,2391,3771,1639,4028,3430,2877,3721,4171,1771,5973,871,5503,4127,2668,3912,2017,3494,187044
529,61708,37336,31105,12844,2921,2191,6123,2151,1494,1698,1557,3383,4807,2912,14460,10939,8608,11899,2319,3355,4362,6141,1373,2421,1047,5363,5098,4895,2838,257348
530,34876,11821,31047,9043,3055,432,2813,963,1457,2927,2362,3760,3917,4062,4498,3946,2123,2324,2722,2998,8410,7727,3596,4504,2607,2316,4618,6521,7976,179421
531,56900,48919,82791,8786,3337,3199,3151,3422,2331,2368,5679,7095,3844,7004,2886,5458,13571,16422,5858,9165,16462,6617,2626,6086,1439,7029,6576,5435,7255,351711
532,31265,12623,18382,6787,3883,2281,5507,865,1864,1179,2959,1245,1270,1899,1427,3430,564,4703,5354,4525,7788,3437,7892,5500,1799,1788,1172,3858,6678,151924
533,45513,19647,41762,7109,2341,980,527,1719,903,327,4310,4519,6031,3369,3680,5038,1071,2511,3014,2612,6013,2471,7580,3953,2276,2218,2281,6697,5606,196078
534,42527,9926,18597,14301,2414,2918,2102,738,603,811,3571,2052,776,1575,1849,1774,412,1621,2481,2611,2934,2051,2656,2175,2842,1129,3180,4687,3506,138819
535,49949,16895,17625,4587,1559,709,2533,1198,763,1596,2544,2289,810,782,2246,2755,2622,2744,3453,4320,9887,3946,3193,2801,4264,4587,2872,3620,2568,159717
536,43558,7870,23249,16197,2850,4311,1534,1924,3100,3206,2214,2611,2715,4332,825,2305,3810,2751,6729,2969,6696,3632,1929,2668,3545,6414,4001,6278,25924,200147
537,34710,16529,22596,15658,2535,4969,6246,6354,2017,1899,3330,2169,942,1492,6808,1515,5896,2550,4517,3393,4604,5358,5923,10901,18595,7770,9327,7866,5021,221490
538,53205,12613,25485,3535,2295,4235,3121,2720,2858,2558,2236,2624,3458,6233,2231,6306,2291,3624,2434,2584,2212,4520,7562,12263,7337,7166,5231,5483,6810,205230
539,53105,12369,19815,12684,9206,11967,6706,5878,7522,4355,5155,10633,8184,7925,5596,7453,2013,2123,5210,4424,9282,3607,15947,29255,5522,9293,10858,11389,8121,305597
540,36049,14142,18969,13685,12569,11989,6057,1712,2149,1710,1451,1003,1448,12838,1712,6898,11309,1113,1934,2822,1892,2567,7161,32321,3141,2907,4731,2787,3570,222636
541,33696,18968,16054,9409,5349,5235,5748,8785,4546,5655,3157,4506,6619,3973,1380,7291,5138,1362,1340,723,2047,7802,8659,6599,2825,6062,3861,3683,22128,212600
542,45561,14610,11850,13396,7157,6005,2427,5706,5639,4817,3851,3024,7400,1805,2066,5374,4649,2300,1397,541,1022,10418,9951,4980,4060,6122,4981,3583,18362,213054
543,28739,14892,22822,7882,6417,3881,1796,3327,2174,4895,4434,4527,4457,3871,3749,5123,3989,1035,2165,2556,1082,9261,9526,4760,4262,5878,1611,3664,24751,197526
544,48445,18224,26747,9057,5038,5440,1578,2694,3926,4306,4058,4533,4188,1532,1987,3748,5779,2839,1703,398,637,11902,7116,6449,6027,6988,4729,2116,14753,216937
545,31022,18212,30246,6850,3327,2556,4433,4043,3012,5043,6858,8557,1664,1216,4724,2606,3557,1838,2266,608,12615,8762,8271,7079,9193,5854,5897,19832,25667,245808
546,28464,16335,16747,4787,4087,2458,6839,6534,5426,16706,4742,1628,1863,5279,3918,1106,1031,996,756,7679,5889,5598,6524,5264,4643,4275,9308,24982,19668,223532
547,50286,43444,25240,25822,11013,5656,17722,6571,7524,6487,11823,9481,2597,2434,5809,2696,1933,1181,2298,3258,9104,10339,8369,7303,7172,5621,6453,16898,37422,351956
548,26802,7537,14847,22459,8101,20292,5329,5895,2931,4103,4140,3155,1571,2483,7435,3458,1386,2157,1014,1258,686,1528,2709,2443,2679,1548,4120,1363,1769,165198
549,30080,18722,29443,9884,3335,11036,10532,6003,5145,3599,5656,4812,2764,3748,2948,1401,3039,1794,2801,5299,4435,7817,5596,6527,4048,3379,6943,8056,32014,240856
