node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
327,55595,37012,14797,15990,7294,15199,14266,12124,12129,15710,11402,14916,13931,33489,15291,28831,18233,40979,44204,73395,19261,29560,43574,19080,25856,25110,16582,24852,34479,29654,22297,29513,34111,8142,3442,6921,6666,4287,5219,8312,5365,8675,31738,6524,5958,7309,7942,965216
328,49991,15324,24892,10324,24124,9639,26800,10421,27608,17391,39080,24611,35442,20774,10756,19889,35112,36075,39050,22025,28757,20694,32350,45195,36893,32518,38928,51320,43672,34423,34855,39446,18315,13449,8311,9320,6846,9418,11756,7292,10556,10694,55055,10487,9045,9333,16203,1144459
329,50589,24808,28139,9822,30677,16420,22780,18310,38029,23070,26077,18904,15103,21070,24871,23373,16442,39737,54440,14030,29284,14753,25272,16540,34969,37181,36325,53933,27534,32992,44579,37974,17874,10067,12152,10104,9103,10955,8040,11621,13227,17567,50262,10555,9523,10354,11287,1120718
330,56522,17738,25899,10249,23994,20666,11366,25306,18308,21285,8554,20624,11732,22900,12983,22471,13444,22759,29018,45147,24381,21019,46119,19151,29327,21325,30594,23277,25910,24274,32244,30108,20819,7929,16999,14687,13209,7329,16759,12390,9685,12182,69183,14001,13681,15044,16079,1028670
331,22861,21029,11021,13466,10684,12141,6403,7626,11192,6773,10711,6336,10215,13339,12303,6107,12378,10369,35063,9145,23899,11098,12001,11522,7395,11052,9313,10349,6643,10594,3999,31455,42078,5752,10979,10063,11646,4918,13941,11138,5966,10595,35304,11418,11348,17761,6367,607756
332,20880,28013,11299,12486,9882,13590,6837,21625,14186,18683,5956,14004,12602,19704,8332,17324,11867,13882,45452,14687,14669,15825,10081,12635,6455,12638,7441,15269,4708,17826,5991,36804,20610,9865,14856,10592,10351,9283,17671,7991,5998,12951,28459,11645,12795,7320,7171,669191
333,31603,31295,6176,20343,7647,15621,11152,14005,14076,17856,18963,22609,12831,20700,13377,17768,14378,23854,12918,15960,8770,8152,14060,7864,6529,10969,7212,46600,6647,22038,7830,24026,18539,5559,16230,23822,15932,6698,11219,16380,5744,13272,36105,18148,17946,5816,5651,730890
334,35609,23767,23082,13774,17887,10748,11650,9029,18043,11991,12699,23980,9643,7670,7664,12021,16412,14704,7586,7862,13200,7678,9879,9549,7138,15970,7893,7989,7866,6006,4224,30912,17144,5828,12864,16086,10496,8404,7014,14905,12199,10000,39489,17687,11786,6806,7652,622485
335,19020,14484,12363,3052,18168,6278,19688,5075,9507,7353,11439,1862,6513,8013,14722,10225,11645,9428,9595,6176,5815,5392,8475,4933,5830,2327,5585,5734,5616,3166,7020,36793,17661,7999,8780,16318,9490,8295,8219,11633,21890,15136,38512,10276,6408,10989,8400,501298
336,21719,26532,14458,6087,18244,6449,9287,4221,9483,5472,6103,3069,15157,11324,11517,13584,26264,6228,11783,5346,6723,8976,7635,7011,7196,9056,5744,4868,5128,3296,4546,30382,16080,12695,7802,7161,17700,12510,6735,6730,14001,15119,14340,10647,9845,10729,7981,502963
