node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
150,12206,13628,11166,11061,19597,10515,6916,5105,1268,4965,7880,13415,8359,2259,12070,19743,5447,4056,8214,177870
151,9987,2404,8654,5281,8099,9787,3943,10583,9471,6705,13243,5690,6375,4118,1651,1120,1716,9377,5706,123910
152,10372,13367,9933,6130,10260,12906,4870,8360,1836,10196,7583,6293,6653,10501,5992,7207,1616,9803,14200,158078
153,10849,6963,10752,12284,8121,13453,7835,10550,21352,4089,10646,10155,3332,2979,10107,4864,2382,3279,5361,159353
154,16743,8340,14213,6474,7807,9365,6199,11235,12189,8490,10289,6147,10822,10134,7948,7893,8662,12975,15479,191404
155,9656,11851,9918,10535,7017,11853,15008,11762,4551,11343,5519,5779,2591,4230,6392,5228,8277,7868,12940,162318
156,22553,24563,18003,11705,10116,13462,3725,5696,4956,3675,7406,1629,7112,8619,8162,2682,14741,10629,10726,190160
157,15990,25224,20398,14800,9776,14643,6523,12025,2631,8863,7694,4986,8874,1400,4278,13237,3645,3042,3116,181145
158,10529,19812,11827,14505,16144,16768,307,8328,4054,6543,8249,8432,7121,2662,10002,10987,10718,1838,5614,174440
159,17554,12757,18739,12555,24855,15490,1476,16847,6020,9128,4921,8266,4254,13947,9979,17195,146,23482,4838,222449
160,12463,16960,19009,15063,12941,7305,2994,10161,7595,2813,7809,11430,17394,5890,10772,380,5906,1324,2268,170477
161,13704,11181,10864,14866,6871,16757,4263,12521,4081,2423,5716,7499,197,19302,6277,7673,9767,5563,5225,164750
162,5352,9321,12603,18813,11509,9747,5690,5928,3650,4597,10079,8250,15150,3168,6703,2512,4474,12121,5184,154851
163,17511,11092,12746,9137,9139,14570,5464,7588,3631,8081,2341,13002,6762,11551,5842,18436,8200,6528,7023,178644
