node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
997,8864,25759,6849,25924,25792,27732,27166,4567,7187,5557,6413,6365,4206,13740,14661,12179,9580,9530,30955,23293,10101,9974,8288,7845,13904,22415,10805,4742,4660,13412,8586,13651,7124,3745,5455,5808,11212,4597,5375,10766,6185,4712,6784,496465
998,8997,22532,8099,34418,16117,18056,20705,17533,21290,11577,10212,10824,6729,6089,9286,8188,10633,5207,46857,24312,13007,8144,9057,5931,7078,20318,6235,12104,7727,14480,10326,10549,7986,7356,7124,4522,3565,4098,4264,4072,7491,5516,12789,511400
999,11062,36517,9048,37854,24120,22417,21608,11050,16621,5539,5083,7439,8465,7694,8690,8921,6286,15941,39389,20535,17365,11619,11131,9058,8913,19467,13758,8029,12295,14839,17890,10582,8500,10254,8117,5897,4680,9467,6584,5815,9563,11621,9329,569052
1000,11440,17617,7142,28635,22654,25599,21861,6214,11276,9065,6063,7869,6030,10189,10319,11790,12907,15740,38979,26562,9402,7597,4788,4795,5666,17084,8785,12895,6654,10102,8635,8238,12921,6704,9841,4675,4819,10696,7270,5243,6414,8400,9283,498858
1001,5300,25854,7889,29631,6613,14554,11720,12064,10874,6396,5253,5624,7283,7168,7817,8766,4652,7222,43170,35038,17279,10073,12080,10128,7523,23951,11084,10308,11781,9505,10367,11090,7798,8196,9110,3546,5532,6912,7061,6494,2905,2774,4681,473066
1002,8827,24372,9356,55351,5445,11491,11171,23607,16040,7377,7944,9347,6635,6094,6008,6128,4509,7039,46018,34723,12015,11513,8830,12505,14420,22179,6435,8581,7001,15470,11531,8085,6665,4418,4029,5420,3502,3775,6224,10828,6287,2316,4568,504079
1003,8458,31213,8625,45721,8726,8526,4525,13856,7350,4523,3961,5997,32390,5658,4346,2975,4554,6663,44273,33600,10923,19603,12244,12197,18039,17346,7614,7819,8735,16672,14310,16515,9038,8289,6238,7043,4469,10036,14539,7585,8876,5422,6108,535600
1004,7490,28572,7002,44493,6167,7228,7231,11880,10376,4178,4927,5384,22466,24297,6016,4958,5187,4046,44617,30201,16142,11405,8303,7677,13294,16586,9867,10387,11277,14844,11186,11674,7362,5282,3265,5134,5111,9160,9741,7471,6974,10180,6138,505176
1005,6433,35671,6928,38222,5486,8495,4432,13364,6637,8423,6419,4230,28655,21709,19779,7255,5755,5685,35139,31738,20446,12663,8105,6993,8430,36232,3873,8344,5292,16192,14668,13593,8140,6754,7285,8609,14219,16773,12930,10064,17326,21497,39127,618010
1006,5417,28333,9010,25515,8051,5461,8685,41050,19819,18710,23009,25275,21920,16598,14236,13721,14628,9827,44587,39392,25642,15745,13222,8132,10686,41794,8056,2784,10668,83397,22251,19913,12121,9756,12227,13581,12283,14663,18322,21206,27993,23715,25968,847369
