node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
95,49032,84687,92701,78483,48340,89098,71287,76027,49120,78758,52011,87226,47298,24432,62025,30764,41257,109976,49596,86943,13354,47538,75014,27543,15849,1488359
96,106464,36522,68704,18278,45483,101849,99723,21454,55447,153331,67712,78584,34075,44215,26039,79159,67619,68203,41112,31055,98565,73170,55717,99047,101473,1673000
97,80984,53490,38230,64759,40366,33009,86700,65362,35972,138309,58841,77934,39334,25055,123449,43876,78658,10000,77419,39814,84439,33159,77414,133730,69977,1610280
98,50532,32064,55892,31229,60000,46922,40747,45459,39290,39468,25822,30000,80215,54030,81919,48744,98720,45179,56171,56051,54064,109672,59495,82176,29575,1353436
99,57005,12707,34331,0,57883,27586,33865,63222,36099,91899,30607,57106,36584,97232,22476,49113,28895,43954,27991,77293,98986,52911,38190,41997,10513,1128445
100,78305,52136,67314,35686,68924,44405,20000,37768,77317,164109,81705,38128,122666,53158,15331,47539,69732,50062,99221,85758,54271,26740,74611,49312,32253,1546451
101,37889,39321,33860,73263,15829,109474,55748,57197,29355,124013,42222,4419,29765,57094,29795,44553,80179,84343,81374,106400,53212,33118,50847,43871,11347,1328488
102,147462,108924,54087,69274,112077,130114,63382,128636,32916,107694,42299,65258,56716,72009,59756,46646,23247,55513,30000,57176,50149,54842,43862,23637,58705,1694381
103,175888,65297,184409,86305,94668,71429,71106,35674,10000,139075,45025,42318,76191,69684,78018,58356,59243,49997,60158,65421,46266,40000,36974,43184,4656,1709342
104,110026,167440,104052,80906,113838,45719,92912,67122,9988,24215,4913,36334,10618,38588,14597,43497,50399,63560,156683,35446,21037,21499,47391,42954,20000,1423734
105,127124,161636,93276,99532,141893,91163,207193,76310,32123,104683,66712,120559,57334,24684,60000,62983,55033,45484,90416,78834,99813,113970,42050,32322,48754,2133881
106,58081,75838,112727,61882,135636,108187,115636,185140,32863,45482,54090,34778,31161,38064,33340,33269,57903,33143,43780,47034,95795,74766,39459,106955,54085,1709094
107,57582,59774,89286,74102,53662,95215,59931,61771,34884,52013,25845,70008,17305,53382,42255,78532,35356,36849,49792,17294,20813,68040,89706,78704,75129,1397230
108,63088,47780,43289,60936,60999,41241,50740,59347,26681,70930,60198,74134,87594,48443,42813,25742,61084,48230,57790,12268,63289,36597,51369,41776,45826,1282184
