node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
107,4679,4989,6835,1592,4722,788,3192,1815,7963,4654,2975,5823,6783,4322,2587,3647,3212,70578
108,8882,6995,5448,4070,7038,5291,5424,13936,4936,6716,5327,6346,11471,5813,5295,4462,3738,111188
109,4236,5738,4456,6380,2426,9252,3030,1816,8427,1291,5207,1551,19320,4218,5973,5068,5546,93935
110,13342,5333,6849,5237,2158,2457,5296,8781,4573,4846,4376,10550,4780,3721,2871,3394,3903,92467
111,6008,4149,7491,3369,5367,2567,4744,4345,4382,5358,3708,10623,3871,3076,2684,3502,2573,77817
112,8628,7945,3970,4214,1763,5338,2471,3250,6009,2749,4337,10916,5369,6288,3230,7253,4552,88282
113,13088,4783,5964,3843,6192,8051,5399,5911,4211,5478,6186,13884,3227,5993,3014,4341,3751,103316
114,7223,10670,2629,5213,5579,2283,5085,1689,7515,4356,5415,12237,6127,5126,4525,4390,5324,95386
115,4663,4495,9670,3825,7256,5641,6672,8087,7678,2933,10307,17485,3366,2822,3285,1915,1890,101990
116,9937,3453,10131,6206,11003,11870,5484,6505,5129,10488,5778,35602,5839,4031,2760,3385,3588,141189
117,4666,6743,1802,2620,5302,2518,2849,4644,6026,1603,8285,3274,9652,4772,2627,3434,3232,74049
118,2675,6442,4418,3417,1289,742,5511,4933,6453,6339,4328,3520,6280,2943,4447,3556,1843,69136
119,7583,4048,4298,1418,5685,1555,13426,336,2103,5154,1413,7461,10106,5569,3656,3350,3116,80277
120,7264,5765,6164,8381,9054,17486,8680,11066,4292,7178,4234,5124,12254,4451,4447,5088,6138,127066
121,23711,11527,19919,23611,14895,18395,13417,28344,13924,14868,11983,11040,10917,14929,14012,15419,12666,273577
122,19839,20500,23559,22886,20232,14961,12577,9581,8613,5903,10879,9901,12536,8915,11420,10671,27746,250719
123,29763,36149,28850,10649,14815,12820,12671,8861,12377,10163,12275,14285,13328,4944,6996,14436,17987,261369
124,24618,22250,38886,17136,13590,19432,17301,13621,9339,10746,8827,10298,7017,10532,4950,17273,15770,261586
125,21000,17430,31904,21063,14531,14176,12500,11489,11135,7624,15704,11618,11630,8613,6165,9403,14995,240980
126,36623,34120,35906,33598,19644,36690,14311,18905,20730,18205,12145,28889,17204,17846,18078,11427,166783,541104
127,33461,29958,64760,35453,24401,38181,36221,27091,28343,22032,26685,17074,18165,15750,11819,132246,181496,743136
128,177301,147519,36666,18615,19323,16973,23667,23320,19174,23008,17482,19689,16690,15176,14264,23180,21964,634011
129,104356,37754,14017,10106,5132,6513,6842,6837,6777,4992,5945,7359,4559,5028,5063,5923,90016,327219
130,32563,9695,4536,928,343,239,233,356,1360,1003,348,570,334,951,638,2778,3415,60290
131,32528,2717,817,2131,206,118,1048,124,243,92,1238,87,492,418,504,2875,4265,49903
132,19696,977,83,99,2238,225,54,95,118,1073,74,73,1072,142,217,4357,3066,33659
133,25117,406,25,23,1010,856,44,61,58,36,42,38,59,73,120,1019,3684,32671
134,13667,439,4,19,4,16,123,112,104,1081,70,83,1104,1144,248,5977,3499,27694
135,24310,1405,0,7,1,9,52,29,33,26,28,1026,30,41,42,3911,3741,34691
136,14884,810,0,8,4,17,23,93,194,142,197,179,208,248,1180,3557,2952,24696
137,13351,875,0,9,5,15,20,37,336,192,137,111,236,232,203,5647,3480,24886
138,30200,958,0,8,5,20,15,1049,206,289,241,179,230,254,225,2519,2575,38973
139,22202,912,0,7,6,21,19,38,180,153,1286,224,246,1261,309,2669,2657,32190
140,15159,1840,0,9,6,26,23,35,279,203,312,227,300,377,322,2969,3599,25686
141,17098,905,0,10,8,21,22,33,361,330,260,312,452,426,452,3004,3635,27329
142,18399,872,2,1007,5,25,23,47,319,235,317,257,395,506,438,4227,3445,30519
143,16054,974,1003,9,7,1029,23,48,252,242,314,336,392,537,610,3531,3255,28616
144,86272,2266,3076,1710,1284,842,450,2352,3832,3792,2183,1896,2248,2910,4623,340,90888,210964
145,25458,5647,2724,1221,1032,1348,849,1018,413,451,246,435,189,208,275,9168,13908,64590
146,86633,10830,564,4252,5928,5281,4343,6283,7916,6602,4710,1464,11137,4505,4353,5008,4032,173841
147,7152,6369,392,557,668,339,350,571,381,525,292,1925,336,1130,444,417,20031,41879
148,3312,314,287,160,188,137,256,122,266,167,286,97,67,353,114,14757,64,20947
149,3354,234,94,32,16,5,20,11,4,2,15,0,16,8,8,16653,2000,22472
150,5013,224,4,3,4,0,0,1003,1,0,4,0,1,0,0,13987,1000,21244
151,2072,229,0,0,2,0,0,0,0,0,0,0,0,0,0,17932,996,21231
152,5000,238,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,2004,24242
153,4180,205,0,0,0,0,0,0,0,0,0,0,0,0,0,15820,2005,22210
154,8385,1170,0,0,0,1000,0,0,0,0,0,0,1000,0,0,18827,3793,34175
155,3390,1206,1000,0,0,0,0,0,0,0,1000,0,1000,0,0,18610,1005,27211
156,5313,232,0,0,0,1000,0,0,0,0,1000,0,0,0,0,16371,333,24249
157,7874,186,0,0,1000,0,0,0,0,0,0,1000,0,0,0,16756,2384,29200
158,3039,225,0,0,0,0,0,1000,0,0,1000,0,0,0,1000,17619,2366,26249
159,3840,184,0,0,0,0,0,0,1000,0,0,0,0,0,0,17406,2784,25214
160,7988,1146,0,0,0,0,0,0,0,0,1000,0,1000,1000,0,18650,3383,34167
161,4656,1198,0,0,0,0,0,0,0,0,1000,0,0,0,0,12496,884,20234
162,23416,10347,7153,6653,7730,6124,13775,3572,9750,9391,9037,4186,5125,10167,5885,13406,272024,417741
163,13858,9544,9448,10611,8343,12672,7484,8955,8933,8796,7125,10522,11187,5778,42283,24439,42327,242305
