node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
428,38368,75543,71791,42357,49904,43028,38867,86579,47378,104776,33893,100881,56742,49676,99682,92044,64580,34235,71194,41954,32708,23472,43223,29831,31543,1404249
429,33709,178260,48052,70391,81748,110184,147357,103562,102866,69130,90036,77431,169954,106100,82985,136383,79354,46697,86387,53773,35947,73992,73941,39988,61617,2159844
430,78286,243474,134024,87400,91263,128091,132738,162654,194098,122877,72609,98330,117058,116382,90196,176712,78236,33375,92817,97712,54888,104306,46426,90731,60356,2705039
431,52465,254317,109674,120167,184197,179254,70563,85066,168072,97714,149158,121636,64399,124752,85764,113225,60873,36685,30558,75941,63937,71897,52885,51112,103401,2527712
432,172104,193353,69681,202060,132741,102643,50473,132255,129414,89123,142268,91312,120992,109819,185741,96669,111048,32505,50235,45030,74633,34234,62002,26407,108710,2565452
433,33067,51062,84078,68409,49766,59509,58472,62628,75526,73064,73464,115118,58559,58655,81885,60094,113581,70470,42810,29355,53154,53542,31921,73201,58599,1589989
434,36511,54216,84062,48700,59643,44066,102263,74904,67303,77868,50956,52819,89731,117063,100753,54552,122614,74382,20091,66841,52620,59212,35383,52221,59342,1658116
435,34897,87238,89160,90509,119122,48643,93947,76818,75606,76505,63262,42811,145808,119284,101294,58681,196655,27902,67605,67812,108726,61100,58424,30718,50110,1992637
436,110469,72313,207440,99208,235412,155758,117192,64475,70972,177231,174164,138467,188014,146923,87611,85110,231149,38962,48219,115716,133601,118329,40209,90851,70952,3018747
437,64484,61845,179676,60366,66224,96473,65853,55854,132452,126955,121646,77027,61454,72894,73051,53536,59430,34333,35580,29329,128252,70391,81792,22512,77548,1908957
438,38315,81516,130261,120196,49152,61713,123657,42098,131011,71289,65622,45233,37416,88474,61700,40972,60254,24774,53284,18451,97593,31604,26111,69559,94453,1664708
439,139242,86722,196658,94097,64809,64789,197201,101069,151509,66020,109649,126007,77212,176666,94552,104030,79371,29459,42742,50755,67551,133366,42765,40797,125639,2462677
440,46937,79527,63576,51304,68243,62950,67092,57653,74885,60929,109699,57629,50207,113253,53628,50441,68546,47513,19847,46576,54818,78291,30564,31452,33233,1478793
441,171449,102812,111526,93956,83424,117082,68820,74871,97168,71911,78397,105901,76429,86101,70183,117635,67502,70319,65291,144438,135910,78445,46763,76516,50986,2263835
442,116020,60192,58432,50603,50251,49451,47176,53053,58282,49705,43696,47744,47827,55533,46694,42534,43315,64559,41551,54289,89300,30456,31067,53203,29409,1314342
443,26089,38121,62000,30186,37042,29004,35343,28817,27065,29730,30807,28748,26958,28299,27868,30138,27365,35256,33196,27965,22763,22155,25611,22755,24698,757979
444,27322,145481,58174,55449,156158,54629,54429,81988,66607,92232,42010,40583,61325,71484,122123,109109,77438,63747,37547,29962,30906,32752,36992,36546,50792,1635785
445,52120,137163,57824,45066,139334,62555,81061,99203,74551,107430,49310,51627,70890,71717,127396,125231,80872,37426,78055,44238,17846,29683,41890,51418,42288,1776194
446,30745,151217,74688,74544,88776,44093,104763,70120,134810,127315,57573,50517,117097,125412,42468,102615,63804,24577,56440,33154,31412,38955,70380,43592,55036,1814103
447,85951,250516,151482,117970,141703,66931,129547,111124,233017,108507,113936,247607,161078,207915,93509,191578,87749,34622,88484,58002,48781,59202,39382,96115,86889,3011597
448,118076,302153,204306,70198,134325,155476,145804,133527,270479,156255,171894,181689,145310,299550,127449,215391,107209,38436,25171,95833,39045,73817,54509,57140,162065,3485107
449,144261,145452,152474,122777,201813,129531,61904,114040,225858,155293,148842,119176,96107,123750,161139,249903,92574,32321,21947,40584,44525,33745,53912,31327,60919,2764174
450,37328,43279,124769,39429,157358,118131,140870,49394,52149,102170,186550,95664,72075,103028,102374,116412,99055,18513,20315,35811,40481,29188,36406,57848,64924,1943521
