node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
192,74,57,18,16,57,15,20,86,21,36,70,63,176,17,147,281,35,73,125,130,57,39,142,52,125,63,64,64,213,2336
193,11,9,66,15,16,28,30,26,10,25,10,0,0,16,42,9,69,10,0,9,11,30,6,14,5,46,163,9,32,717
194,21,1,57,0,18,13,4,2,11,95,0,0,3,13,10,10,3,11,18,12,10,26,31,10,21,65,11,33,13,522
195,0,0,40,5,14,48,27,29,10,3,72,6,13,0,3,13,24,25,10,0,63,10,0,19,27,20,18,6,0,505
196,0,13,6,5,40,97,8,59,33,28,35,3,43,2,0,0,3,0,0,49,9,30,99,29,31,22,16,7,2,669
197,81,20,1,30,4,48,22,17,12,20,34,10,14,10,20,11,10,30,11,0,45,3,4,29,100,3,0,18,25,632
198,3,0,10,3,12,94,40,58,45,13,18,13,6,0,10,24,152,11,0,21,33,2,36,0,11,1,71,0,0,687
199,12,20,46,16,40,108,8,14,5,1,70,6,0,23,22,0,10,0,16,6,23,0,0,7,10,1,37,0,28,529
200,0,17,14,81,12,81,47,7,11,3,19,16,12,1,13,14,20,3,2,0,41,0,13,0,2,6,70,0,0,505
201,14,27,41,13,35,16,1,11,32,19,44,14,5,24,0,0,0,3,20,10,19,0,39,6,12,10,70,10,0,495
202,28,7,13,31,42,4,7,1,0,2,92,5,19,0,0,25,6,0,0,22,17,10,7,26,0,11,50,10,0,435
203,8,1,13,19,2,7,0,16,3,51,10,150,10,2,10,162,17,9,34,2,10,44,9,40,14,37,40,11,40,771
204,0,9,2,1,18,18,0,16,20,34,10,25,18,1,9,9,26,52,0,11,34,0,15,28,18,30,72,10,16,502
205,10,10,1,2,1,23,21,12,0,0,10,16,14,30,10,20,0,10,17,10,30,93,0,0,8,3,19,10,6,386
206,18,16,23,2,4,6,14,20,18,14,3,5,8,28,10,18,1,2,1,45,5,1,10,49,25,0,2,16,7,371
207,0,0,9,6,6,1,9,10,6,56,3,91,0,10,6,0,0,22,0,20,10,57,7,11,0,26,10,5,23,404
208,316,55,17,9,49,98,3,10,6,1,89,0,30,76,9,17,40,12,19,76,44,28,17,46,14,28,11,79,40,1239
209,36,37,45,42,38,107,49,48,47,127,122,6,39,25,2,38,23,27,44,21,51,4,103,65,23,84,138,29,34,1454
210,12,54,190,4,0,13,6,91,44,162,7,0,13,18,40,0,23,17,25,39,4,6,39,11,7,9,6,6,90,936
211,27,14,41,11,0,14,11,3,24,131,16,7,14,10,18,28,3,10,17,3,10,1,0,6,37,14,4,9,74,557
212,20,2,26,44,2,8,11,17,67,315,16,4,89,28,11,15,20,0,0,3,20,0,51,1,19,14,42,35,12,892
213,20,0,22,1,18,4,7,13,10,114,25,0,11,0,62,27,7,8,13,30,9,87,18,0,34,33,11,10,23,617
214,5,0,5,4,2,53,33,14,68,21,24,10,0,10,0,23,10,2,10,0,19,15,4,0,11,13,126,14,5,501
215,1,3,18,11,6,85,19,36,14,61,26,24,1,4,35,21,0,17,0,20,49,0,10,40,24,17,27,14,17,600
216,25,20,21,29,5,80,79,40,3,49,64,10,0,0,10,16,49,38,0,10,20,29,0,19,3,1,16,12,0,648
217,16,17,3,32,44,40,25,46,46,5,4,0,25,0,20,12,32,33,2,13,10,0,29,13,6,1,31,15,22,542
218,1,25,8,12,29,74,59,55,0,28,40,3,10,89,5,104,35,22,2,3,5,2,7,0,12,20,27,10,10,697
219,24,10,67,3,10,27,64,0,1,24,111,0,10,0,8,24,0,0,13,28,4,13,25,24,23,0,75,0,0,588
