node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
419,74328,74192,79790,80123,59156,35487,63159,68007,68955,80224,70460,67608,92407,87514,85635,87291,100488,82521,79497,85858,76395,72046,71449,71087,80287,72217,71943,74751,65373,65998,63573,61531,64164,65836,65343,2564693
420,79806,78355,84667,80617,81471,60482,32536,68061,72672,78370,70089,69215,92754,90262,97411,88336,89311,77287,84327,84505,83513,76056,74578,79012,79212,82774,72836,71225,66169,75179,67573,63985,75148,72719,63555,2664068
421,72350,73736,73680,72438,75005,57673,31626,61550,68654,67682,64871,61227,96353,90072,95640,85862,91658,88710,81041,86622,78722,84676,78841,76092,74497,75092,75562,72150,79731,71495,72013,66319,69075,71987,66277,2608979
422,70411,71516,75521,78855,77001,54518,30364,59633,70077,73305,66143,71126,92669,84769,88723,92427,91077,89208,91222,85303,101043,74687,88127,72929,72914,74689,71407,74931,62713,68633,61102,64886,77369,73490,62075,2614863
423,72030,77633,76412,77277,78496,61231,34887,65575,73288,72882,73650,71932,100072,87407,92892,91319,99348,79121,81820,78534,76150,70530,79646,68123,77358,65941,71775,77588,67775,73656,68657,71403,63768,62430,56602,2597208
424,68962,77174,79510,75937,78992,57502,34939,59801,69166,67675,71198,64238,84689,87730,90103,101495,86786,90766,82433,74662,81606,69871,83268,77039,67407,68431,79758,72219,67417,66860,64708,67048,69187,57406,62047,2558030
425,70158,76306,75829,75570,72224,60079,29234,64494,71459,72190,73284,69097,90210,94466,89582,91756,93075,87858,83776,80983,74366,71902,80607,82370,83440,76137,78600,76165,75029,74172,64910,78003,61528,59458,60950,2619267
426,61194,68885,73217,71519,70314,53058,30889,63726,66227,66489,71233,64745,87559,86620,88709,88747,89138,89870,81598,92537,78167,74997,84962,76734,78528,73160,67495,69416,77987,64235,65193,70002,62806,63202,61632,2534790
427,64214,72159,69404,72347,74182,54974,31736,59179,65799,73008,73894,69588,87394,85807,83253,81974,87634,85728,81988,98337,77475,76340,72853,78477,71980,64864,71143,70678,71069,73277,60225,63568,67779,73729,62681,2528737
428,64204,69262,68479,66749,67318,57482,32911,63177,70585,71909,69288,70735,101183,87255,86833,85367,91666,85704,80561,78012,81312,85929,76791,79710,72941,74114,74545,73181,79245,66326,72108,75760,72789,60787,68369,2582587
429,63372,68641,70435,68885,71581,51295,32365,63699,71611,74761,73614,68597,97009,84330,106211,80152,93171,95699,92626,77313,81212,77294,80590,73317,66373,68939,70867,71902,70490,67800,69481,68277,64632,63197,62301,2562039
430,64891,68698,69628,70174,74175,56851,34003,67165,73731,77278,75709,72421,96894,90314,89727,85990,85450,82237,86477,85387,81976,76065,70852,85044,68754,78547,68001,71159,61654,66889,68925,67674,68015,59913,63707,2564375
431,70347,66626,72419,73850,74676,72778,53644,35437,57974,69300,70639,78134,90802,81584,85468,85309,93167,88645,98135,84333,82385,78536,66369,69730,69660,70231,75928,64100,63873,68813,70166,69771,67956,62896,54594,2538275
432,64953,74465,64128,72664,72710,71023,72718,56145,31498,63543,78919,73184,85582,86265,76583,86416,93748,90357,97685,81348,84822,71193,72520,69953,69912,85012,82477,76903,64410,66582,67397,65385,67672,63415,70163,2571750
