node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
119,102395,144561,90381,84569,74385,72702,0,86400,12,16028,5003,68478,41799,20119,35893,72518,20000,30422,44160,1009825
120,153875,95451,64820,70008,152735,49097,20000,44652,30000,30158,35029,46276,30000,64252,13162,27933,57632,80110,41612,1106802
121,65909,29343,62382,17992,51961,68149,10000,73225,59537,7252,38680,19477,21261,23166,38748,38649,15691,28423,9143,678988
122,56260,99058,4690,52109,41748,77305,9989,24037,20000,40913,26553,72201,19640,38598,43239,10000,36644,12222,46540,731746
123,72419,69385,31216,61189,78652,52878,29021,16878,49340,32388,44527,40000,4093,36777,50375,50289,29427,27522,59942,836318
124,83498,44637,16952,26676,35165,65548,8589,56797,19760,21784,78899,17063,15060,30000,20930,11428,21826,72342,10000,656954
125,56703,70678,46519,17378,50337,20001,20009,37518,87770,23812,24069,20000,71519,51749,68133,33980,44076,10000,58400,812651
126,20743,19265,26039,50979,27385,32913,41223,92290,38646,31657,89930,13391,42094,54804,23333,45566,36732,77545,32276,796811
127,44434,16137,19086,50792,43265,43464,44443,8326,25020,22996,50000,44793,47968,89557,16447,65713,40965,20000,43632,737038
128,16263,51032,4049,25421,34393,19679,384,77696,30494,29068,33731,27762,23307,42213,37020,32205,39462,17605,65263,607047
129,41248,20394,27261,44749,8025,49125,61705,20405,42683,34634,25102,43922,41433,35810,26973,23883,30000,65981,39014,682347
130,43583,111409,79656,76250,76799,40325,20000,11695,33001,16712,19577,26622,17398,0,19428,19327,56484,57166,82976,808408
131,107475,92331,90280,98443,32779,34604,29165,26963,29950,37529,30006,19178,38129,60833,57293,0,29535,33359,57985,905837
132,81054,41065,63782,85647,23094,23285,10000,105058,26303,29987,19727,62102,22057,18339,19121,40726,69342,49655,29943,820287
133,45332,43814,67794,58913,72352,44194,20000,100117,32725,48005,17269,20810,52299,10073,93224,38365,23082,13149,58488,860005
134,48620,45017,35326,60850,61670,60722,49912,31203,27370,21384,33652,18950,30006,73397,46040,38222,14115,36011,44963,777430
135,29928,54924,49293,53320,98777,58440,9982,60886,40006,30862,34047,29210,39552,26019,14926,12081,23952,34294,69706,770205
136,28962,3890,73256,13315,29821,29089,13890,24064,30414,47397,37531,25307,30000,22348,31822,44084,47513,0,20008,552711
137,54612,12644,82509,62568,23783,79050,20656,25323,32232,23918,47292,39076,26777,19073,18848,42110,30680,69765,33985,744901
