node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
171,44842,49058,49687,46865,45679,42705,39747,35386,38999,41016,38303,33661,35011,33572,26055,32346,34472,667404
172,58217,53538,56927,48411,45007,48043,48536,40979,43999,41780,37071,34765,36382,30225,26530,22241,32769,705420
173,46504,51895,47175,51617,50111,46426,38082,38392,37393,30395,35526,32234,39339,36485,29096,23991,34875,669536
174,44878,49324,51278,41559,44793,39541,37401,44373,38694,31458,36713,42231,35903,29902,33186,25212,34534,660980
175,53794,57392,54809,52927,54567,41274,41288,41594,37103,33415,36578,24259,37988,28023,29995,28522,23478,677006
176,42253,47313,52454,45577,41952,30672,39654,40649,40277,33243,37655,40929,33502,34894,35157,34881,27349,658411
177,63004,49327,47182,39968,48043,42269,40369,37589,33870,34507,34796,25528,44230,44209,40814,36308,37719,699732
178,87250,51202,51456,49697,42354,35677,39782,36054,37906,35900,41043,26050,33039,31113,31877,29432,33364,693196
179,45826,45053,43475,42320,44122,37647,38930,34349,28655,34232,35032,24721,33796,35086,35775,34441,35586,629046
180,42142,48546,55343,42770,43406,35605,34826,35145,35336,34246,31983,32715,23510,36245,37749,32507,33986,636060
181,42960,56444,52055,45524,41307,39826,39413,38450,38509,38553,38867,34722,38170,22355,35156,32081,34047,668439
182,44584,55872,43037,48053,44693,42323,35460,34968,47892,37217,38918,29195,32027,30697,23763,26866,35346,650911
183,45448,41614,48780,46638,44651,39901,46436,36450,36453,34110,36552,34894,33907,30974,29735,21363,29492,637398
184,48031,50475,54792,48476,43570,47032,33830,40707,39483,35802,33794,40546,29573,28629,31395,19831,29733,655699
185,40945,51965,48052,45909,42849,37083,39032,30594,37640,34350,35043,37996,31654,30530,33679,23705,35188,636214
186,54181,65314,49368,52385,44559,47297,47233,41129,39836,36418,36577,24810,35427,31500,34937,31166,24520,696657
187,44051,37277,41592,45086,37799,33021,32787,32667,31557,33577,33111,41499,26419,31303,32476,34648,29032,597902
188,67014,46401,47733,36880,36583,37642,35154,36947,34756,29322,32371,24954,42351,39805,30114,36190,37188,651405
189,67281,48495,43666,53126,40150,46834,35095,32772,33569,28805,31645,26129,34929,30787,37465,30059,33583,654390
190,45357,46264,48344,39974,42055,41354,39126,33049,39851,35372,36106,25238,32970,31080,26004,30510,33712,626366
191,44271,54209,39317,41051,39019,39019,37764,40186,33763,32357,28697,32784,23628,29307,29472,30322,34534,609700
192,46385,54501,46718,38902,36151,43747,43374,38573,32116,36170,31615,25793,39971,22115,26378,36828,26319,625656
193,45777,43233,49414,40560,34633,36315,32932,33772,35873,37265,33849,26812,39462,29358,20546,29058,30696,599555
194,46615,51595,50991,51755,45813,35938,36805,42844,37818,37982,31602,31674,30716,28409,29322,17506,27874,635259
195,48541,51685,45474,44400,39850,42278,33032,30653,35177,33324,29528,41658,31046,28262,30350,18454,28399,612111
196,45178,58021,51297,45393,45430,41678,34731,35412,32565,35694,33292,34706,31342,26910,26626,20127,35536,633938
197,45371,48572,60280,47290,46900,45835,46154,39522,44521,39457,36915,21343,34204,29350,27734,22013,19096,654557
198,42161,48321,50581,47442,29861,37581,32864,30819,25723,37530,27161,37769,27838,29075,29513,29823,30596,594658
199,60436,49947,52964,40315,40413,42236,37150,31762,27631,34062,33149,21137,35463,33843,29769,31143,30846,632266
200,68151,57315,38320,40033,42140,41956,33263,33746,35490,36692,31167,21826,31905,31939,32887,31332,36060,644222
