node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
106,61,31,46,17,22,52,18,20,17,0,0,15,14,6,14,10,36,22,24,5,25,0,6,8,21,35,7,21,0,33,4,26,0,30,16,662
107,63,27,26,28,33,13,13,4,26,3,1,10,65,19,19,53,5,33,6,20,29,0,53,11,16,14,13,0,24,29,62,22,10,63,40,853
108,6,16,10,10,16,5,6,9,7,2,0,81,3,29,0,0,9,0,0,16,10,8,0,3,9,14,71,5,13,4,9,10,22,0,12,415
109,0,20,12,33,9,5,6,23,7,24,21,11,4,12,19,0,8,12,5,10,12,0,25,19,0,19,22,0,23,35,47,31,74,13,27,588
110,26,0,9,0,8,0,0,9,20,10,6,7,3,9,11,13,34,30,0,2,0,4,0,11,14,23,17,0,49,10,13,6,13,17,7,381
111,13,4,10,4,0,9,0,34,21,10,0,93,9,5,11,14,11,0,25,37,0,37,20,35,0,32,29,14,10,7,5,7,15,20,31,572
112,21,28,29,11,0,0,9,20,20,26,0,15,20,35,2,12,6,106,7,23,11,4,11,24,10,12,28,26,0,16,0,16,17,16,0,581
113,0,10,11,3,5,13,0,6,10,10,12,36,39,44,10,15,58,3,14,18,16,28,10,48,12,26,7,16,14,15,24,26,30,14,20,623
114,620,35,51,11,11,13,68,12,2,54,0,24,74,6,0,6,46,14,4,70,34,13,2,11,4,8,4,19,22,71,17,3,18,15,21,1383
115,35,36,62,50,39,29,31,61,35,33,44,36,46,50,47,55,33,43,6,46,15,28,46,41,25,14,0,22,51,39,18,39,34,35,36,1260
116,18,12,14,37,17,13,44,11,20,20,15,83,0,0,0,11,0,0,2,17,23,0,6,15,0,7,58,23,12,12,1,30,44,14,40,619
117,24,2,8,6,46,0,1,28,16,8,35,55,14,10,10,1,10,48,13,0,13,35,3,6,10,20,15,4,29,17,0,1,23,6,0,517
118,9,5,16,0,10,0,6,2,11,6,4,15,7,16,10,5,7,0,5,8,10,27,13,6,50,5,11,0,8,10,19,53,46,6,16,422
119,5,0,8,14,4,11,45,17,16,32,20,41,0,2,0,37,0,0,11,10,0,28,48,32,3,17,10,3,10,27,18,0,16,8,6,499
120,26,1,17,14,33,15,2,16,19,1,30,9,2,26,3,7,20,0,19,1,21,15,11,27,10,3,30,19,16,4,9,13,16,9,19,483
121,22,13,12,2,20,7,17,40,43,32,40,15,51,74,11,25,0,36,15,10,1,4,0,10,25,25,44,61,16,10,1,0,20,10,14,726
122,33,8,2,11,3,21,7,61,9,45,34,43,46,23,13,8,0,14,33,32,18,7,36,38,5,17,21,0,38,19,10,0,44,13,32,744
123,11,17,3,18,14,13,20,49,18,47,32,21,81,16,70,2,43,79,8,21,16,14,1,20,7,27,14,12,32,43,2,18,31,27,14,861
124,0,17,37,22,49,11,28,25,20,22,26,47,77,4,10,17,75,20,0,74,24,6,23,35,42,41,18,12,35,85,24,133,20,9,40,1128
125,0,17,10,5,36,32,7,47,63,40,57,14,76,31,50,10,0,0,10,119,158,28,70,0,28,31,48,1,0,10,60,0,10,4,10,1082
126,31,17,34,28,37,36,56,24,53,68,18,7,29,21,13,20,20,25,0,21,14,25,14,0,10,8,70,46,53,19,10,25,16,13,33,914
127,18,14,30,99,59,56,21,26,32,13,17,5,104,10,0,6,17,23,6,52,48,5,10,0,61,7,25,26,60,0,10,27,8,10,11,916
128,12,32,55,25,30,24,23,21,0,0,9,11,20,9,21,38,68,17,55,0,84,20,0,0,10,26,20,0,27,8,4,80,16,39,12,816
129,2,39,28,24,36,41,47,17,21,12,6,31,66,18,20,0,4,0,105,2,10,25,3,5,51,15,11,3,32,15,0,3,80,0,52,824
130,26,17,64,34,18,22,0,0,12,10,0,53,160,10,1,55,0,38,129,25,52,0,0,15,38,11,1,18,20,0,87,10,14,6,11,957
131,10,17,11,0,0,20,22,5,0,20,6,112,13,9,76,7,32,33,16,0,7,13,0,7,0,26,56,7,13,15,0,48,19,0,17,637
132,19,3,25,0,3,22,0,12,3,10,20,14,1,39,0,14,20,0,10,9,41,24,20,10,12,22,27,13,8,0,23,0,20,5,3,452
133,4,13,22,41,23,8,10,0,10,0,0,93,0,14,5,20,31,0,23,45,12,33,12,18,3,10,5,4,3,12,18,4,16,9,41,562
134,10,23,2,0,19,0,10,5,10,10,7,86,19,0,10,31,0,0,0,20,23,4,2,4,21,52,10,22,7,0,30,0,4,13,20,474
135,0,0,0,0,9,2,3,0,1,28,4,11,5,1,13,6,66,12,12,0,9,22,17,14,30,10,8,35,9,2,22,9,29,10,16,415
136,14,19,10,10,13,31,3,0,8,0,1,34,26,20,4,19,16,5,22,3,7,15,8,15,16,13,18,20,13,20,77,25,6,20,1,532
137,562,61,14,0,10,1,35,16,72,59,20,0,46,16,0,0,38,0,36,0,39,61,61,12,30,7,85,58,13,17,1,59,14,12,15,1470
138,83,21,42,58,83,47,63,54,55,19,29,48,56,76,48,45,0,51,0,22,60,47,27,27,50,51,21,48,54,56,48,42,45,49,23,1548
139,57,61,39,7,17,31,32,30,12,15,6,68,18,0,11,105,15,19,3,8,4,19,15,52,8,12,11,15,1,23,3,0,14,10,3,744
140,15,31,14,6,18,17,14,3,20,16,0,65,2,15,4,0,16,0,14,48,20,2,14,13,2,24,24,14,14,22,10,10,10,41,10,548
141,6,0,22,6,4,0,16,19,22,26,10,43,0,1,0,0,20,3,80,17,10,11,0,13,44,6,7,16,10,4,10,0,30,19,46,521
142,15,1,23,25,2,11,6,16,3,7,45,26,0,3,12,23,1,10,18,16,4,10,31,34,5,8,16,14,84,14,12,18,14,8,10,545
143,17,16,2,10,14,0,18,10,3,1,38,57,22,0,10,0,0,23,10,0,0,17,20,12,0,36,10,20,0,31,10,16,44,32,11,510
144,3,6,29,2,30,3,39,13,14,9,40,28,87,52,16,14,10,27,3,0,11,13,0,26,18,7,32,2,10,24,20,5,0,11,16,620
145,8,5,7,7,14,34,44,42,18,24,10,98,51,11,14,7,21,201,27,39,14,14,32,19,0,21,15,22,25,10,8,17,0,25,10,914
146,13,13,10,6,21,22,17,24,9,22,54,28,54,21,20,10,28,40,17,17,112,97,39,0,0,30,10,4,12,18,20,54,0,17,8,867
147,20,23,7,22,49,22,71,21,32,34,49,96,87,3,0,39,10,12,36,75,24,11,18,11,62,112,5,48,18,2,2,30,26,51,20,1148
148,0,15,4,12,24,19,19,17,44,49,71,8,50,0,9,2,19,30,27,49,14,24,11,10,14,8,17,16,3,79,43,5,13,18,15,758
149,24,10,6,21,76,22,83,24,10,34,1,18,8,4,0,0,0,17,76,20,46,3,20,10,12,30,25,4,29,8,2,0,13,38,32,726
150,22,5,11,16,32,62,50,71,45,13,10,9,74,94,33,28,63,3,10,13,62,10,4,4,22,10,10,111,0,10,5,10,27,0,3,952
151,43,22,59,15,39,97,127,66,10,37,2,3,74,20,17,10,0,50,62,10,18,33,0,10,16,0,13,10,9,1,19,11,18,6,9,936
152,27,77,36,24,119,46,33,20,10,9,0,22,95,10,0,6,4,4,0,14,26,23,20,16,29,22,0,8,26,12,35,19,0,0,12,804
153,19,64,13,51,17,33,0,38,0,0,26,30,123,16,10,20,2,0,21,1,10,12,0,45,14,86,27,47,9,8,17,6,18,27,6,816
154,7,5,0,21,0,0,22,9,10,2,4,9,9,5,13,13,3,7,0,2,15,2,0,3,0,15,11,9,20,5,48,16,23,3,0,311
155,6,15,13,78,0,32,2,0,0,0,16,54,10,7,0,10,0,5,10,3,0,19,32,0,15,47,0,18,14,9,10,17,0,46,115,603
156,0,2,10,2,10,38,0,7,0,11,26,6,5,10,7,49,10,0,21,0,0,4,13,13,22,0,0,0,22,27,6,17,38,14,0,390
157,4,13,0,17,12,0,10,21,14,21,5,81,8,16,19,6,0,0,20,44,12,20,4,24,4,6,6,13,3,44,8,10,14,14,10,503
158,13,11,1,3,19,7,7,3,10,9,5,27,2,8,16,6,4,28,10,10,69,15,50,15,25,15,2,8,11,43,0,3,11,11,10,487
159,13,13,33,2,13,1,0,13,21,0,7,42,24,7,31,19,0,17,21,20,78,26,23,16,55,4,25,19,6,14,12,28,18,12,1,634
160,525,28,38,103,10,30,41,27,11,57,20,15,91,29,0,0,68,33,15,22,16,24,5,112,21,27,1,7,43,19,66,55,29,6,26,1620
161,40,38,45,67,56,37,70,89,49,37,38,61,25,16,52,49,22,24,37,28,6,46,10,43,20,32,29,34,17,60,28,53,70,41,52,1421
162,27,12,35,7,20,10,15,13,16,0,12,40,23,11,2,5,0,4,3,17,11,7,70,0,9,14,5,0,31,25,32,9,0,6,9,500
163,18,2,10,2,13,0,3,47,28,7,17,70,30,0,6,6,21,6,38,11,10,22,0,11,16,10,11,11,6,3,40,11,76,10,10,582
164,18,2,13,7,13,10,16,19,17,0,10,21,6,0,2,0,23,6,22,24,0,20,0,11,9,0,27,21,23,2,11,0,26,15,23,417
165,1,0,0,6,4,2,7,8,0,28,11,24,8,3,12,51,0,31,0,0,10,8,0,21,35,13,3,21,22,11,5,5,0,3,63,416
166,7,13,8,3,6,13,13,25,21,8,27,19,5,13,4,10,68,5,7,7,15,13,34,33,23,12,20,16,32,2,35,11,24,11,21,584
167,10,10,24,33,8,3,13,39,50,34,43,25,79,3,24,9,20,12,0,10,45,10,11,14,19,20,87,17,11,10,10,29,11,15,9,767
168,3,13,23,4,10,17,48,32,187,34,30,38,84,59,4,0,0,2,16,36,5,7,29,8,26,65,12,29,28,0,13,7,16,12,46,943
169,20,13,1,17,11,11,27,36,42,83,28,40,76,75,13,0,7,14,5,14,59,15,16,114,11,9,20,42,16,22,26,16,6,13,7,925
170,8,12,4,39,4,14,48,81,41,35,29,18,59,8,0,19,20,0,30,35,0,17,10,0,8,1,0,51,25,12,7,15,3,22,28,703
171,11,4,8,61,55,14,26,33,10,64,14,15,107,0,0,0,15,56,59,29,47,34,6,2,15,91,20,54,39,8,0,11,12,15,0,935
172,27,26,19,22,41,17,109,40,7,36,28,5,128,3,12,3,47,15,16,5,8,2,100,20,10,39,11,31,12,17,24,4,25,17,35,961
173,5,17,48,9,23,55,88,39,23,31,7,3,61,8,38,20,94,37,10,11,13,20,18,10,22,10,80,1,16,13,0,35,48,0,2,915
174,0,42,31,39,43,30,22,36,0,26,10,3,110,74,12,0,16,38,2,7,0,5,10,0,13,4,18,32,11,7,72,27,31,0,8,779
175,13,62,2,102,51,108,95,32,33,7,2,4,85,5,58,10,10,0,4,0,0,10,1,101,4,14,20,10,56,6,0,20,27,6,40,998
176,35,48,20,33,13,44,0,16,11,24,13,46,78,20,6,10,0,0,25,8,0,70,11,11,26,5,4,1,29,29,10,20,26,3,6,701
177,11,4,26,0,74,4,10,38,10,0,0,58,10,22,10,16,7,9,20,13,39,9,3,17,10,17,0,2,17,24,16,3,10,11,20,540
