node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
73,42221,11381,22231,14793,7796,26299,23794,31770,6290,5366,8601,13783,10021,6261,3809,19725,10541,12129,8235,19638,3430,3929,6186,12565,16477,347271
74,17632,12893,14887,7837,8064,6514,4524,10393,8066,6792,6047,10723,10604,7165,9408,13036,5340,7789,6624,4713,6164,4876,3167,12106,21404,226768
75,8370,7058,4769,7313,32778,22613,18307,17911,7624,31137,8715,6911,4755,15978,4193,11555,4927,7967,7303,3105,6530,4885,5457,6141,22187,278489
76,33138,33744,12875,5636,19749,11988,25074,2311,3221,4896,7360,7466,8680,11520,2027,7227,8842,13666,12960,3951,26259,9041,4333,7253,7895,291112
77,3711,57512,29131,21066,12587,43900,21362,25804,9037,28421,13804,7193,12199,8723,8293,3039,25595,17801,13725,18575,26935,5899,5389,9864,19038,448603
78,27437,10170,19171,10677,39330,23150,11416,32235,10224,10666,12237,1696,10847,11872,11030,12589,15471,14923,7562,5593,5613,12612,11764,8424,19795,356504
79,5923,8840,24429,25256,22163,14461,12745,30250,8223,20967,9302,13305,9446,10329,6072,3945,6364,1706,6677,2565,4056,7652,8000,7498,10502,280676
80,6058,27971,28338,9305,4800,23792,12212,6436,10169,5741,4608,8099,9498,8756,9183,4136,4116,15781,18806,11999,7132,36525,7232,4438,14441,299572
81,5599,22451,27710,33877,9884,15193,25905,15414,7677,2696,7864,5947,4541,11725,10634,9681,4700,24714,17050,15777,12930,37160,3196,11006,13899,357230
82,31321,20483,12859,39236,12973,18032,29495,19665,12899,37633,10041,15917,8135,11229,3052,12928,7386,19159,3208,4744,2786,7083,15578,21788,4573,382203
83,6957,7807,7792,16337,32775,13350,19549,18976,15380,34551,5709,5998,14092,12824,6472,5859,4687,9518,12927,5741,3715,9140,13912,13609,5170,302847
84,2204,27442,8834,11471,7036,8028,16933,19531,25379,14097,6670,13940,5439,7297,4603,3886,5806,5648,10369,9032,5684,4646,8863,5854,8593,247285
85,6393,35430,3795,15928,7414,7754,23795,29179,7231,17145,11248,9169,3371,7429,5072,7470,7068,8790,10976,10294,5649,5010,3265,20194,9628,278697
86,5485,6740,18069,20015,3255,8866,9945,4466,4367,7768,7261,4471,7295,8570,10676,5672,5231,10103,8554,6364,20812,15389,7390,19577,9547,235888
87,32833,10454,4770,16452,12856,17308,25882,18256,2789,13103,5730,5658,11315,11858,13487,9251,5838,10433,8023,4693,23415,20691,7684,17252,7118,317149
