node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
125,176980,227046,97471,123432,81074,140740,278141,142114,139905,94857,107656,203335,161413,163258,300903,98470,96528,118922,86108,71047,101952,80649,95509,116432,40000,156162,85591,39938,177502,86929,90031,260095,90163,98543,111756,26167,68488,119749,88853,183560,135100,113460,133347,5409376
126,182444,28063,45012,45345,140258,176942,164704,126264,104727,163852,142015,150208,153170,92131,323505,41360,110083,61512,111067,151289,133452,104986,174171,79966,171384,50034,165221,131187,121303,62144,50020,87175,104095,90544,98489,146319,165472,40187,152377,168136,95229,153875,125147,5184864
127,123912,56861,86687,62242,160765,212106,144947,58250,146081,109923,187407,224657,82587,67992,353041,80051,156362,82807,108797,115479,98445,107089,121238,92107,70890,113446,64449,73741,124322,56349,83086,101917,95801,79074,107585,95309,72647,78656,125221,98621,94547,102970,87293,4765757
128,67702,85959,115448,63853,177107,79587,108292,143565,67000,65355,101425,100607,74573,75096,105915,54304,128005,70640,178696,46537,57689,96907,60540,72932,107277,100933,58689,117378,123739,76876,34523,175753,55742,87197,57870,62585,134877,154995,24763,168693,18396,141627,188139,4087786
129,186690,64556,179284,177665,155993,180215,132132,224103,167473,148476,60087,276293,159668,131739,319832,103103,56379,44319,92333,62159,91955,61315,140634,141813,119284,110288,59683,174330,68618,140859,165317,81005,227140,194252,96083,128734,86529,83825,149103,213916,185783,219539,149746,6012250
130,151558,61699,117640,83444,106620,198917,162806,185656,123992,75558,188067,110307,120627,55496,321564,53401,67638,90908,146777,45080,68693,89644,139349,101113,130787,130051,74058,105579,57672,91342,94959,73849,40963,111626,165826,218123,59218,154285,81075,88639,167550,107507,140968,4960631
131,106328,108043,66446,59848,69131,29985,96882,75157,41554,34735,79533,84977,67278,80295,38487,73104,75890,86004,64431,76086,102553,111415,83764,92285,32525,124246,93941,19937,78458,82757,118444,112979,34356,157178,95325,163340,131654,106648,45535,82986,71271,102841,76115,3534747
132,165554,87318,122210,159816,91430,115560,188505,40123,150382,256895,131186,123771,71825,132947,277078,149015,78247,31968,98323,65724,90079,52765,146511,95891,73058,121943,179620,196519,119246,230997,143156,104353,203230,76285,79321,57849,92654,159341,93735,91294,346588,144926,144949,5582187
133,191764,124737,102548,131316,79130,98091,163733,172317,137999,51299,102869,47047,55581,126769,222509,139033,94391,82041,33247,57848,21728,117628,94306,90645,59371,131587,101548,114516,148360,72175,117426,111733,84163,301958,92005,261053,168241,89796,142005,116864,127048,158754,88734,5025913
134,170446,61571,94806,127478,88984,160387,196016,90919,55680,53067,93133,101712,139066,83820,275787,59305,74885,112957,133448,159654,126604,200537,75607,70236,97578,72827,141350,95693,118199,147583,75543,97684,93171,85273,103921,71026,119371,94272,151764,59970,136245,173394,120972,4861941
135,53805,119647,29385,74067,46327,62697,66424,30623,72237,56387,43620,25429,30728,29055,84389,122287,86368,129445,75979,118800,75566,60072,80846,50898,53497,98278,47155,77003,56238,123276,56909,104401,23820,45751,74455,105854,118032,89274,106569,21582,58434,85853,52332,3023794
136,154206,110033,138340,33510,205433,118241,59707,177630,27320,77213,147988,107139,131530,54831,242583,83737,54316,83342,80663,84884,85197,70963,112674,170445,127166,94465,88035,187992,157664,86669,225782,233834,140162,34043,144773,34902,86890,62543,165082,165068,170020,276476,252894,5346385
137,174565,45882,72313,106256,65330,59239,48711,74629,136792,87223,103966,36454,53642,110060,38811,59684,85422,99633,30964,129535,91182,48896,122577,113286,194068,73296,112037,91450,90593,49341,139282,91696,94881,73809,123130,139882,259689,113484,109312,24857,153566,109317,100588,4139330
138,250479,41899,116137,85570,52847,57332,99934,24918,52341,46313,43164,48355,40622,81555,71188,110012,60909,59136,82988,117133,89405,27717,99118,36046,83947,96531,76767,161066,90321,99072,148800,150332,133722,42928,171730,106630,122401,156372,70211,97640,39120,90165,150421,3883294
139,97791,101309,57223,65990,48535,32062,33984,43950,35087,117314,70211,40162,28071,68093,73772,42322,66525,73782,104686,36735,210400,62440,73901,100852,43153,76600,76152,77314,162311,47001,260290,80917,101434,84660,89777,73662,36237,61034,152778,69184,117025,135973,117199,3547898
140,156679,117573,146784,87837,52929,24546,37214,56784,42156,39909,124215,25932,61281,70717,51382,91565,75395,59007,77086,104229,27319,123071,40812,123551,147884,100302,108062,67485,215093,64906,121011,96296,120784,49330,165374,92039,106658,122047,109743,155544,164273,90250,176890,4091944
141,138046,123858,91292,31188,33814,101350,65617,131566,137240,30000,130913,94215,94862,115030,318233,82033,119921,77082,83559,69819,119816,85834,149500,88847,117901,198051,73807,63476,68218,57790,80578,80175,191095,175054,125780,165990,122318,148426,140299,163502,76073,121303,80000,4763471
142,126396,88628,40511,25161,52397,111121,93564,84766,51717,103467,52935,77326,69938,27981,196695,77953,55227,40683,130128,71670,90776,124775,92524,36785,48534,62434,77255,98819,224384,106517,137961,108889,70940,128982,61519,91927,140574,97832,134198,124784,148381,73303,68905,3929262
143,53773,56282,31857,28129,37544,43299,71147,35215,30006,67275,77599,61673,48433,48001,59587,91517,71981,62870,58516,34618,34704,61769,69787,49934,118502,70436,53510,32097,90341,65816,46762,121367,107803,95846,40550,116797,66794,73784,26714,101115,121553,76106,101203,2812612
144,153790,59577,88002,55027,99386,78202,77197,118994,51570,83461,78448,59291,54829,100725,290449,104322,109371,80160,38748,89757,67177,46187,80338,46457,119228,132695,115257,89253,122122,147247,47681,161599,98360,54000,43414,58201,148899,133243,46167,187336,83839,157337,153587,4210930
145,248348,417317,301465,204378,284061,347500,274038,194486,217145,262717,295757,450459,226815,364315,46243,94322,48290,59193,126446,28423,80402,68151,101595,103508,42086,41192,71287,103308,55601,123795,132976,156081,139024,17998,91339,67222,142794,123619,106037,75846,105525,143304,109748,6694156
146,229955,380247,260601,212312,323061,162324,417456,557108,144216,129637,150019,276786,377987,199244,285127,81097,119749,69337,156553,117844,48561,91909,81966,124392,154131,122133,135412,87946,141907,46814,78287,121634,54490,24949,139673,58986,200291,96781,132560,73940,128590,70696,90824,6957532
147,462088,265488,42487,319715,180215,215412,342045,420296,291878,202018,141527,287304,280184,349020,249760,49490,141864,80832,76794,80634,100258,120647,106184,90531,106953,64024,48880,102107,108347,243669,171640,76477,150536,131095,119929,120641,83164,68412,43682,64868,120513,95599,124091,6941298
148,402174,210179,179214,199880,133997,236360,396663,364819,283494,206797,138880,199254,257841,143827,61935,61868,78449,58406,77256,80740,63124,39470,73068,108893,84788,20000,76004,193125,127206,85532,89026,98753,42319,112488,139793,129035,146343,20354,172003,165963,196301,167225,48067,6170913
149,147883,151800,90337,116325,82365,70643,51521,88431,181315,107378,91898,77062,82915,177828,44660,101535,62164,77005,65390,88281,28833,96540,110564,154930,43746,89460,126970,90568,63108,94106,45429,60119,32424,70790,81443,130587,42990,23128,66002,49551,56804,57027,124700,3696555
150,268914,175595,224280,78589,153605,165772,155298,127184,208183,213319,124460,79832,27947,93483,83804,64279,43891,96227,73660,64551,104714,71465,44183,100822,114355,30162,108066,114094,87550,116950,56376,80099,176120,145232,90342,28086,83291,75736,211328,127375,166345,67571,147313,4870448
