node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
1559,46000,317000,231000,44000,147000,107000,102000,57000,79000,44000,56000,47000,44000,89000,75000,43000,176000,48000,66000,70000,47000,57000,48000,46000,61000,48000,66000,80000,52000,56000,140000,124000,95000,115000,97000,52000,48000,56000,98000,46000,47000,109000,86000,3562000
1560,44000,363000,264000,217000,60000,126000,44000,52000,48000,44000,143000,88000,43000,140000,48000,141000,141000,47000,51000,48000,46000,123000,56000,57000,60000,62000,46000,68000,51000,60000,150000,107000,90000,113000,46000,50000,56000,57000,109000,46000,48000,106000,107000,3866000
1561,553000,54000,298000,44000,55000,47000,44000,149000,120000,43000,251000,48000,92000,95000,47000,57000,57000,46000,69000,48000,67000,95000,142000,46000,59000,60000,44000,71000,106000,74000,124000,102000,134000,45000,48000,56000,55000,76000,132000,47000,52000,133000,109000,4094000
1562,44000,51000,49000,44000,294000,269000,43000,332000,49000,203000,185000,47000,51000,49000,46000,131000,51000,64000,66000,67000,46000,79000,111000,44000,56000,57000,67000,51000,95000,74000,140000,173000,146000,46000,50000,56000,71000,89000,151000,51000,69000,150000,44000,4051000
1563,44000,556000,401000,43000,560000,52000,179000,169000,47000,55000,49000,46000,87000,48000,83000,111000,123000,46000,65000,64000,44000,86000,95000,56000,49000,57000,44000,50000,49000,53000,108000,172000,134000,48000,49000,57000,75000,92000,119000,46000,61000,81000,45000,4498000
1564,43000,1075000,49000,412000,279000,50000,50000,48000,46000,188000,48000,214000,89000,90000,46000,101000,97000,44000,62000,63000,76000,51000,88000,44000,48000,47000,44000,63000,83000,52000,55000,126000,149000,45000,52000,56000,61000,93000,110000,125000,47000,71000,106000,4786000
1565,218000,145000,47000,52000,49000,46000,69000,48000,58000,59000,59000,46000,58000,58000,44000,63000,59000,59000,49000,59000,44000,50000,48000,44000,59000,59000,43000,76000,49000,96000,81000,82000,79000,58000,68000,77000,87000,63000,69000,44000,69000,65000,64000,2819000
1566,64000,48000,46000,347000,262000,44000,405000,50000,134000,118000,44000,52000,47000,43000,153000,46000,71000,66000,73000,49000,82000,144000,48000,58000,59000,57000,44000,63000,49000,64000,90000,175000,71000,155000,55000,81000,153000,70000,118000,53000,78000,168000,55000,4152000
1567,223000,146000,44000,52000,48000,43000,71000,46000,58000,58000,58000,52000,58000,59000,56000,58000,59000,58000,44000,61000,48000,57000,56000,46000,58000,59000,44000,76000,47000,89000,86000,89000,61000,69000,83000,68000,66000,59000,47000,79000,60000,72000,82000,2853000
1568,392000,246000,183000,50000,107000,101000,50000,87000,73000,72000,44000,76000,48000,59000,50000,46000,70000,70000,44000,97000,47000,109000,126000,44000,50000,47000,43000,61000,46000,80000,97000,53000,92000,52000,99000,97000,57000,108000,47000,56000,104000,55000,108000,3643000
